s,left,right
4.01,1.7642384113901155,1.031085202866771
4.02,1.7607399414522233,1.0308744231252716
4.03,1.7569904081825127,1.0306956368123044
4.04,1.7533670546805045,1.0305632380512086
4.05,1.7502323337889432,1.030490148089684
4.06,1.7476822985428537,1.030462758968171
4.07,1.7455821005683168,1.0304444685988998
4.08,1.7437892464613327,1.030397913570024
4.09,1.7421610746773364,1.030285831936796
4.1,1.7405218174142034,1.0300909402523069
4.11,1.738623052263061,1.0298397996480126
4.12,1.7362067109791366,1.029564792188506
4.13,1.7330147253176573,1.0292982999383804
4.14,1.7288668777823517,1.0290679373737697
4.15,1.7240635664968769,1.0288718860170218
4.16,1.719088411861244,1.0286971068379918
4.17,1.7144253957354765,1.0285305386706831
4.18,1.7105407784997428,1.0283598086937105
4.19,1.7075084145158945,1.0281877860728184
4.2,1.7050180089227187,1.0280322612472337
4.21,1.7027431969723146,1.0279116488489684
4.22,1.700357956306817,1.0278443252392322
4.23,1.6976669071242616,1.0278340641481216
4.24,1.6948017294299698,1.027848082046994
4.25,1.6919444541265196,1.0278479674127625
4.26,1.689277112116489,1.02779530872234
4.27,1.6869304366008049,1.0276579907382706
4.28,1.6846684532654932,1.0274489079444473
4.29,1.6820955636113901,1.0272005471150878
4.3,1.678815512279828,1.026945475647417
4.31,1.674448208720037,1.0267154883747944
4.32,1.6690622264189607,1.0265209371523567
4.33,1.6632221853920053,1.0263484663079747
4.34,1.657518376912939,1.0261834932643334
4.35,1.65254086548478,1.0260114447113777
4.36,1.6486621562879227,1.0258266381616081
4.37,1.6456317571416672,1.0256488506616133
4.38,1.6430883675504524,1.0255023875726184
4.39,1.640670687018717,1.0254115542558488
4.4,1.6380492281744725,1.0253953559769065
4.41,1.6351590202264323,1.0254287292959428
4.42,1.6320662169017899,1.0254647653078217
4.43,1.628837912988012,1.0254563983259002
4.44,1.625541494312848,1.0253575777798252
4.45,1.6222547243810075,1.025158449287597
4.46,1.6190683295956148,1.0248943716218082
4.47,1.6160738524769138,1.0246035500812112
4.48,1.61336281028947,1.0243241872295048
4.49,1.6109205789684602,1.0240829910976572
4.5,1.6083839693449273,1.0238689219983672
4.51,1.6053183479526216,1.023663203212789
4.52,1.6012890813252931,1.0234470580220771
4.53,1.595928893022021,1.0232050755502766
4.54,1.589525696407645,1.0229545848760084
4.55,1.5827363915483041,1.02273135341093
4.56,1.5762220102083544,1.0225713550284141
4.57,1.5706356615300348,1.0225097378528112
4.58,1.5662558600018288,1.02254260723138
4.59,1.5628320345860733,1.022610923655324
4.6,1.5600736338932015,1.0226514805943705
4.61,1.5576901063499224,1.0226010716512386
4.62,1.5553643163445199,1.0224157338400326
4.63,1.5526788069441633,1.0221241238582122
4.64,1.5491924604492129,1.0217720257434149
4.65,1.5444641591600288,1.021405223533276
4.66,1.5381217294465317,1.0210666827202828
4.67,1.5305832984586971,1.020767060021919
4.68,1.522771608624017,1.0204963826663977
4.69,1.515617579599016,1.0202443435835735
4.7,1.510040823307812,1.0200006664827328
4.71,1.5062218314308353,1.0197570869443247
4.72,1.5031591499556831,1.019508557782363
4.73,1.4997452866912704,1.0192503204447558
4.74,1.494872749446513,1.0189776163794104
4.75,1.487785883365293,1.0186908882493417
4.76,1.4792561037887209,1.0184131534127163
4.77,1.4704690268109568,1.0181735523618893
4.78,1.4626102762193762,1.0180012257029436
4.79,1.456768049443347,1.0179218678966726
4.8,1.4527024257344985,1.0179141954782172
4.81,1.4492136047863164,1.01792297231851
4.82,1.445080450510221,1.017892207603547
4.83,1.4390899075521277,1.0177662462945363
4.84,1.4308015970791361,1.0175215400409818
4.85,1.4211764724908496,1.0171927694354874
4.86,1.4113234445648377,1.0168207630786334
4.87,1.402351424078671,1.0164463495709997
